Turnout Rate,2022,2020,2018,2016,2014,2012,2010,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1988,1986
18-29,25.5%,52.5%,32.6%,43.4%,16.3%,40.9%,20.3%,48.4%,20.3%,45.0%,18.2%,34.5%,17.7%,33.1%,21.0%,42.7%,20.0%,35.7%,20.5%
30-44,40.1%,64.4%,45.8%,56.9%,30.1%,56.2%,36.1%,60.7%,36.3%,59.5%,36.0%,54.0%,35.1%,50.5%,39.4%,59.0%,38.7%,54.2%,38.5%
45-59,52.3%,72.9%,56.2%,66.2%,42.6%,66.0%,50.4%,69.5%,50.4%,69.0%,50.1%,64.3%,49.1%,62.5%,52.9%,68.0%,49.3%,64.7%,50.1%
60,63.1%,78.0%,65.5%,71.4%,54.9%,71.2%,59.0%,71.0%,57.6%,69.7%,57.1%,67.3%,55.6%,65.7%,57.2%,68.0%,53.7%,64.7%,53.8%
