FIPS,Geographic Name,Geographic Subtype,Total Vote,Kamala D. Harris,Donald J. Trump,Robert F. Kennedy Jr.,Chase R. Oliver,Jill E. Stein,Randall Terry,Claudia De la Cruz,Cornel R. West,Rachele Fruit,Write-in,Peter Sonski,Joseph Kishore,Shiva Ayyadurai,Joel Skousen,Richard Duncan,Blake Huber,Mattie Preston,Chris Garrity,Michael Wood,Lucifer Everylove,Bill 'Doc' Stodden,Laura Ebke,Vermin Supreme,None of These Candidates,Jay Bowman,Robert 'Robby' Wells,0,0,0,0,0,0,0,0,0,0,0,0
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23,vote24,vote25,vote26,vote27,vote28,vote29,vote30,vote31,vote32,vote33,vote34,vote35,vote36,vote37,vote38
41,Oregon,State,2197431,1216305,904547,30623,8134,17037,1679,0,5078,0,14028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Pennsylvania,State,7023690,3417113,3539705,0,32970,33902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Rhode Island,State,508774,282110,213021,5006,1602,2829,0,1148,0,0,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0
45,South Carolina,State,2548142,1028452,1483747,0,12670,8117,5352,3059,6745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,South Dakota,State,428922,146859,272081,7204,2778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Tennessee,State,3060323,1055045,1964523,21511,0,8953,0,3451,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5855,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Texas,State,11340293,4806474,6375376,0,68266,82299,0,2161,1688,0,94,3514,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Utah,State,1466996,557407,873330,0,14558,7012,0,2759,1909,0,14,222,0,0,7403,0,0,0,0,0,2344,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Vermont,State,369398,235791,119393,5905,1828,0,0,1710,1549,211,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Virginia,State,4339255,2235958,2011637,0,19231,33006,0,8030,8649,0,22744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Washington,State,3857516,2221254,1505207,49056,14753,26314,0,7581,6364,744,22426,0,819,2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,West Virginia,State,762184,214309,533556,8842,2995,2482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Wisconsin,State,3422202,1667881,1697298,17597,10457,12132,4037,2031,2739,0,8030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Wyoming,State,269045,69527,192633,0,4191,0,0,0,0,0,2694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
